cateory	id	id1	id2	yb	num	num1	num2	xxx	type
hap1	intact_gypsy	gypsy	hap1_gypsy	intact	54017940	54017940	54017940	54.01794	0.277742654
hap1	intact_copia	copia	hap1_copia	intact	34396246	34396246	34396246	34.396246	0.20238645
hap1	intact_unknown	unknown	hap1_unknown	intact	35519469	35519469	35519469	35.519469	0.233906431
hap1	all_gypsy	gypsy	hap1_gypsy	all	194489176	194489176	140471236	194.489176	1
hap1	all_copia	copia	hap1_copia	all	169953305	169953305	135557059	169.953305	1
hap1	all_unknown	unknown	hap1_unknown	all	151853324	151853324	116333855	151.853324	1
hap1	d	all_raw	hap1_all	all	516295805	516295805	392362150	516.295805	1
hap1	d	all_intact	hap1_all	intact	123933655	123933655	123933655	123.933655	0.240043893
hap2	intact_gypsy	gypsy	hap2_gypsy	intact	54445532	54445532	54445532	54.445532	0.263472098
hap2	intact_copia	copia	hap2_copia	intact	34326574	34326574	34326574	34.326574	0.203030419
hap2	intact_unknown	unknown	hap2_unknown	intact	36254498	36254498	36254498	36.254498	0.2320955
hap2	all_gypsy	gypsy	hap2_gypsy	all	206646292	206646292	152200760	206.646292	1
hap2	all_copia	copia	hap2_copia	all	169071089	169071089	134744515	169.071089	1
hap2	all_unknown	unknown	hap2_unknown	all	156205088	156205088	119950590	156.205088	1
hap2	d	all_raw	hap2_all	all	531922469	531922469	406895865	531.922469	1
hap2	d	all_intact	hap2_all	intact	125026604	125026604	125026604	125.026604	0.235046668
cs10	intact_gypsy	gypsy	cs10_gypsy	intact	1134803	1134803	1134803	1.134803	0.009829737
cs10	intact_copia	copia	cs10_copia	intact	6797981	6797981	6797981	6.797981	0.038478755
cs10	intact_unknown	unknown	cs10_unknown	intact	4477353	4477353	4477353	4.477353	0.022109102
cs10	all_gypsy	gypsy	cs10_gypsy	all	115445915	115445915	114311112	115.445915	1
cs10	all_copia	copia	cs10_copia	all	176668422	176668422	169870441	176.668422	1
cs10	all_unknown	unknown	cs10_unknown	all	202511754	202511754	198034401	202.511754	1
cs10	d	all_raw	cs10_all	all	494626091	494626091	482215954	494.626091	1
cs10	d	all_intact	cs10_all	intact	12410137	12410137	12410137	12.410137	0.025089936
jl_wild	intact_gypsy	gypsy	jl_wild_gypsy	intact	26648576	26648576	26648576	26.648576	0.143443404
jl_wild	intact_copia	copia	jl_wild_copia	intact	22067712	22067712	22067712	22.067712	0.119881365
jl_wild	intact_unknown	unknown	jl_wild_unknown	intact	18622541	18622541	18622541	18.622541	0.105004354
jl_wild	all_gypsy	gypsy	jl_wild_gypsy	all	185777633	185777633	159129057	185.777633	1
jl_wild	all_copia	copia	jl_wild_copia	all	184079586	184079586	162011874	184.079586	1
jl_wild	all_unknown	unknown	jl_wild_unknown	all	177350180	177350180	158727639	177.35018	1
jl_wild	d	all_raw	jl_wild_all	all	547207399	547207399	479868570	547.207399	1
jl_wild	d	all_intact	jl_wild_all	intact	67338829	67338829	67338829	67.338829	0.123059062
fj_hemp	intact_gypsy	gypsy	fj_hemp_gypsy	intact	36930335	36930335	36930335	36.930335	0.178461926
