ID		wf	yb	color	jj
hap12_Cannabis2G01736.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G12532.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G12915.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G12916.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G15604.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G16475.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G17408.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G17948.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G18143.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G18291.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis2G18292.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01316.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G01554.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01708.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01830.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01913.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01914.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01966.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01967.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G01968.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G02101.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G02102.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G02103.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G02258.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G02862.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G03268.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G03269.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G03301.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G03316.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G03317.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04028.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04522.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04672.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04673.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04691.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04692.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04703.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04704.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04776.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04964.t1	#E41A1C	hap12	FAD_BBE	#ff0000	.
hap12_Cannabis1G04997.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G04998.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05058.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05145.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05146.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05300.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05304.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05305.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05306.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05571.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05572.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05573.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05579.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05580.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05581.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G05621.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06028.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06029.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06030.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06031.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06384.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06868.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06869.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06932.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G06933.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G07130.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G07131.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G07132.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G08309.t1	#E41A1C	hap12	FAD	#ff7f0e	.
hap12_Cannabis1G08736.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G09788.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G09789.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G09959.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10060.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10142.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10143.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10243.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10355.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10413.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10414.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10680.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G10827.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G11144.t1	#E41A1C	hap12	x	#aaaaaa	.
hap12_Cannabis1G11145.t1	#E41A1C	hap12	x	#aaaaaa	.
